date,close,volume
2025-01-02,42.59,1829813
2025-01-03,43.11,1774761
2025-01-06,43.38,1764874
2025-01-07,43.27,1522419
2025-01-08,43.04,1613170
2025-01-09,42.96,1720300
2025-01-10,42.95,1516824
2025-01-13,43.20,1843795
2025-01-14,43.74,1480582
2025-01-15,44.19,1983999
2025-01-16,44.53,2076957
2025-01-17,44.25,1564397
2025-01-20,43.95,1678629
2025-01-21,44.12,1585716
2025-01-22,44.52,1859913
2025-01-23,44.72,1815489
2025-01-24,45.32,1945987
2025-01-27,45.69,2003282
2025-01-28,45.43,1854249
2025-01-29,45.83,1556134
2025-01-30,45.83,1798530
2025-01-31,45.77,1830675
2025-02-03,45.85,1601501
2025-02-04,46.45,1886783
2025-02-05,46.93,1685304
2025-02-06,47.34,1666584
2025-02-07,47.88,1600037
2025-02-10,48.18,2102022
2025-02-11,48.02,1492847
2025-02-12,47.74,1482144
2025-02-13,48.29,1894848
2025-02-14,48.27,2028944
2025-02-17,48.95,1616596
2025-02-18,49.10,1975372
2025-02-19,48.92,1832730
2025-02-20,49.58,1924106
2025-02-21,49.91,1891173
2025-02-24,49.83,1988796
2025-02-25,50.00,1899867
2025-02-26,50.17,1647900
2025-02-27,50.87,1502037
2025-02-28,51.56,1529926
2025-03-03,51.59,1505110
2025-03-04,51.19,1837133
2025-03-05,50.93,1546078
2025-03-06,50.89,1595312
2025-03-07,50.96,1930652
2025-03-10,50.83,1969770
2025-03-11,50.87,1902223
2025-03-12,50.60,1708589
2025-03-13,51.20,2064262
2025-03-14,51.10,1958373
2025-03-17,51.71,1989190
2025-03-18,52.43,1636436
2025-03-19,52.98,1878387
2025-03-20,53.02,2106959
2025-03-21,52.92,1480745
2025-03-24,52.80,1677861
2025-03-25,53.14,1594444
2025-03-26,52.99,1658995
2025-03-27,52.60,2068626
2025-03-28,52.60,1971113
2025-03-31,52.69,1533280
2025-04-01,52.41,1814673
2025-04-02,52.77,1813451
2025-04-03,53.19,1735250
2025-04-04,52.81,2060428
2025-04-07,52.69,1763166
2025-04-08,52.42,1618134
2025-04-09,52.97,1589689
2025-04-10,53.28,1980820
2025-04-11,52.92,1588550
2025-04-14,53.29,1682910
2025-04-15,53.18,1723063
2025-04-16,53.47,1874709
2025-04-17,53.72,1598241
2025-04-18,53.78,1802556
2025-04-21,53.77,1704563
2025-04-22,54.13,1516907
2025-04-23,53.97,1925011
2025-04-24,54.10,1531485
2025-04-25,54.36,2017428
2025-04-28,54.87,1929170
2025-04-29,55.59,1552322
2025-04-30,55.17,2114027
2025-05-01,55.54,1632299
2025-05-02,55.11,1558169
2025-05-05,55.55,2052514
2025-05-06,55.57,2088876
2025-05-07,55.22,2014418
2025-05-08,54.56,1759198
2025-05-09,54.05,1965611
2025-05-12,53.47,1695273
2025-05-13,53.53,1694515
2025-05-14,53.63,1840907
2025-05-15,53.42,1778652
2025-05-16,53.70,1770913
2025-05-19,53.52,1869918
2025-05-20,53.55,1899454
2025-05-21,53.52,1537375
2025-05-22,53.29,1865976
2025-05-23,52.45,1969004
2025-05-26,52.50,2029649
2025-05-27,52.62,2098677
2025-05-28,52.10,1759151
2025-05-29,51.52,2061382
2025-05-30,50.93,1723555
2025-06-02,51.14,1821189
2025-06-03,50.78,1774024
2025-06-04,50.07,1576147
2025-06-05,50.10,1739553
2025-06-06,50.14,2072866
2025-06-09,49.77,1601980
2025-06-10,49.02,1948059
2025-06-11,48.97,1578176
2025-06-12,48.42,2105137
2025-06-13,48.11,1602299
2025-06-16,47.74,2058327
2025-06-17,47.89,1669537
2025-06-18,47.17,2082559
2025-06-19,46.60,1578662
2025-06-20,46.72,1993155
2025-06-23,45.97,2081792
2025-06-24,45.61,1654024
2025-06-25,45.64,1482179
2025-06-26,45.81,1739151
2025-06-27,45.80,1535350
2025-06-30,45.77,1611103
2025-07-01,45.14,2073232
2025-07-02,45.07,1908674
2025-07-03,44.39,2114549
2025-07-04,43.73,2063978
2025-07-07,43.43,1987897
2025-07-08,43.27,2000452
2025-07-09,43.32,1700218
2025-07-10,43.31,1999735
2025-07-11,42.66,1695605
2025-07-14,42.58,1846362
2025-07-15,42.74,1729070
2025-07-16,42.89,1754609
2025-07-17,42.74,1707512
2025-07-18,42.64,2083560
2025-07-21,42.75,1899783
2025-07-22,42.27,1704463
2025-07-23,41.92,1822502
2025-07-24,41.57,2079518
2025-07-25,41.50,1584635
2025-07-28,41.40,2065696
2025-07-29,40.79,1708869
2025-07-30,40.50,1754238
2025-07-31,40.28,1931563
2025-08-01,40.16,1564733
2025-08-04,39.85,1611982
2025-08-05,39.85,1978375
2025-08-06,39.55,1495538
2025-08-07,39.50,1907933
2025-08-08,39.85,1853762
2025-08-11,40.45,1906794
2025-08-12,40.87,1646567
2025-08-13,41.38,1531476
2025-08-14,41.98,1493624
2025-08-15,42.43,1923146
2025-08-18,42.16,2061004
2025-08-19,42.41,1913585
2025-08-20,42.78,1638020
2025-08-21,42.76,1885927
2025-08-22,42.78,1965861
2025-08-25,43.43,1576063
2025-08-26,43.70,1592862
2025-08-27,43.73,2067961
2025-08-28,44.14,1562633
2025-08-29,44.50,1885412
2025-09-01,44.57,2004927
2025-09-02,44.73,1584290
2025-09-03,45.26,1768143
2025-09-04,44.95,2026324
2025-09-05,44.66,2047869
2025-09-08,45.13,1524355
2025-09-09,45.17,1662703
2025-09-10,45.74,1963197
2025-09-11,46.28,1861606
2025-09-12,46.24,1503594
2025-09-15,46.63,1971770
2025-09-16,47.01,1902693
