model,seed,epoch,accuracy,loss
baseline,0,1,9.515,2.3010
baseline,0,2,17.483,2.0497
baseline,0,3,24.026,1.8718
baseline,0,4,30.517,1.6668
baseline,0,5,35.200,1.5113
baseline,0,6,39.432,1.3950
baseline,0,7,43.763,1.2234
baseline,0,8,47.840,1.1321
baseline,0,9,50.149,1.0271
baseline,0,10,53.231,0.9572
baseline,0,11,55.975,0.8582
baseline,0,12,57.063,0.7857
baseline,0,13,59.879,0.7099
baseline,0,14,60.865,0.6648
baseline,0,15,62.539,0.5993
baseline,0,16,63.763,0.5912
baseline,0,17,64.668,0.5255
baseline,0,18,64.956,0.4716
baseline,0,19,65.956,0.4740
baseline,0,20,67.400,0.4197
baseline,0,21,67.245,0.4069
baseline,0,22,67.949,0.3566
baseline,0,23,69.164,0.3602
baseline,0,24,69.574,0.3579
baseline,0,25,69.244,0.3281
baseline,0,26,69.839,0.3025
baseline,0,27,69.954,0.3257
baseline,0,28,70.164,0.3073
baseline,0,29,70.906,0.2681
baseline,0,30,70.504,0.2720
baseline,1,1,8.722,2.2835
baseline,1,2,15.940,2.0603
baseline,1,3,23.121,1.8502
baseline,1,4,28.699,1.6934
baseline,1,5,34.352,1.4883
baseline,1,6,39.062,1.3847
baseline,1,7,42.780,1.2540
baseline,1,8,46.373,1.1544
baseline,1,9,49.265,1.0421
baseline,1,10,51.457,0.9365
baseline,1,11,54.723,0.8619
baseline,1,12,55.976,0.7868
baseline,1,13,57.773,0.7334
baseline,1,14,60.045,0.6380
baseline,1,15,61.296,0.6303
baseline,1,16,62.107,0.5951
baseline,1,17,63.443,0.5562
baseline,1,18,64.084,0.4696
baseline,1,19,64.732,0.4351
baseline,1,20,65.337,0.4016
baseline,1,21,66.546,0.4254
baseline,1,22,66.896,0.3639
baseline,1,23,67.667,0.3662
baseline,1,24,67.328,0.3597
baseline,1,25,68.348,0.3622
baseline,1,26,68.351,0.3083
baseline,1,27,68.909,0.3280
baseline,1,28,68.730,0.2710
baseline,1,29,69.746,0.2537
baseline,1,30,69.644,0.2991
baseline,2,1,8.775,2.2662
baseline,2,2,15.913,2.0545
baseline,2,3,22.709,1.8745
baseline,2,4,28.713,1.6843
baseline,2,5,34.688,1.5336
baseline,2,6,38.721,1.3648
baseline,2,7,43.419,1.2211
baseline,2,8,45.887,1.1379
baseline,2,9,49.933,1.0093
baseline,2,10,52.516,0.9050
baseline,2,11,54.897,0.8212
baseline,2,12,56.079,0.7617
baseline,2,13,58.192,0.6843
baseline,2,14,60.362,0.6873
baseline,2,15,61.249,0.6048
baseline,2,16,62.649,0.6011
baseline,2,17,63.753,0.5326
baseline,2,18,64.279,0.4960
baseline,2,19,65.329,0.4854
baseline,2,20,66.333,0.4507
baseline,2,21,66.113,0.4092
baseline,2,22,67.294,0.4154
baseline,2,23,67.848,0.3322
baseline,2,24,67.976,0.3193
